roll_hi_VM,roll_hi_CH,roll_hi,roll_lo,roll_lo_VM,roll_lo_CH,distance
4.4141667,611.667,TB_0612,TB_0551,1.6292333,432.3333,45.07771
NA,341.3333,TB_0368,TB_0125,0.9071833,328.6667,34.52535
3.4073667,NA,TB_0462,TB_0125,0.9071833,328.6667,40.04997
NA,524.6667,TB_0335,TB_0130,2.0245833,317.6667,40.6448
NA,524.6667,TB_0335,TB_0208,NA,142.6667,40.6448
NA,524.6667,TB_0335,TB_0254,NA,202.8333,40.6448
NA,524.6667,TB_0335,TB_0269,0.2110667,119.8333,40.6448
NA,214.6667,TB_0239,TB_0260,0.7092,229,27.20294
1.22685,425.3333,TB_0003,TB_0129,NA,181.6667,26.533
1.3036333,360.6667,TB_0446,TB_0343,0.2057,96,18
3.7155333,642,TB_0581,TB_0255,2.8467333,344.8333,18.22087
1.5082,478.6667,TB_0436,TB_0255,2.8467333,344.8333,18.22087
1.7131167,462.8333,TB_0433,TB_0205,0.1228667,NA,25.92296
3.397,494.6667,TB_0386,TB_0015,2.2088833,NA,39.44617
5.5806167,671,TB_0382,TB_0610,1.6104833,330.6667,39.08964
1.2617333,356.8333,TB_0095,TB_0050,3.2142667,433.6667,16.12452
3.8219,510.8333,TB_0508,TB_0486,2.1254833,387,35.27038
5.68075,NA,TB_0476,TB_0477,2.5341,370.6667,41.90465
3.5640333,548.6667,TB_0509,TB_0513,2.71515,529.6667,33.64521
3.06175,559.8333,TB_0037,TB_0503,3.0743,435.6667,43.86342
