"","genotype","subplot_id","treatment","time","date","subsample","inclination","roll"
"1","TB_0165",60110,"wet","midday","7/22/2016",1,58,176.363
"2","TB_0165",60110,"wet","midday","7/22/2016",2,76,182.169
"3","TB_0165",60110,"wet","midday","7/22/2016",3,48,159.291
"4","TB_0165",60110,"wet","dawn ","7/23/2016",1,34,174.708
"5","TB_0165",60110,"wet","dawn ","7/23/2016",2,35,170.134
"6","TB_0165",60110,"wet","dawn ","7/23/2016",3,34,170.945
"7","TB_0508",60123,"wet","midday","7/22/2016",1,39,124.356
"8","TB_0508",60123,"wet","midday","7/22/2016",2,39,110.452
"9","TB_0508",60123,"wet","midday","7/22/2016",3,34,163.872
"10","TB_0508",60123,"wet","dawn ","7/23/2016",1,29,178.091
"11","TB_0508",60123,"wet","dawn ","7/23/2016",2,29,178.384
"12","TB_0508",60123,"wet","dawn ","7/23/2016",3,24,165.603
"13","TB_0509",60135,"wet","midday","7/22/2016",1,49,168.639
"14","TB_0509",60135,"wet","midday","7/22/2016",2,28,142.454
"15","TB_0509",60135,"wet","midday","7/22/2016",3,54,181.639
"16","TB_0509",60135,"wet","dawn ","7/23/2016",1,24,192.995
"17","TB_0509",60135,"wet","dawn ","7/23/2016",2,43,176.477
"18","TB_0509",60135,"wet","dawn ","7/23/2016",3,39,186.778
"19","TB_0467",60142,"wet","midday","7/22/2016",1,43,153.848
"20","TB_0467",60142,"wet","midday","7/22/2016",2,49,184.995
"21","TB_0467",60142,"wet","midday","7/22/2016",3,44,182.189
"22","TB_0467",60142,"wet","dawn ","7/23/2016",1,31,173.803
"23","TB_0467",60142,"wet","dawn ","7/23/2016",2,29,209.76
"24","TB_0467",60142,"wet","dawn ","7/23/2016",3,30,178.895
"25","TB_0386",60156,"wet","midday","7/22/2016",1,34,168.406
"26","TB_0386",60156,"wet","midday","7/22/2016",2,33,166.965
"27","TB_0386",60156,"wet","midday","7/22/2016",3,45,182.847
"28","TB_0386",60156,"wet","dawn ","7/23/2016",1,29,174.352
"29","TB_0386",60156,"wet","dawn ","7/23/2016",2,24,164.591
"30","TB_0386",60156,"wet","dawn ","7/23/2016",3,21,168.325
"31","TB_0446",60215,"wet","midday","7/22/2016",1,36,142.09
"32","TB_0446",60215,"wet","midday","7/22/2016",2,56,165.437
"33","TB_0446",60215,"wet","midday","7/22/2016",3,49,172.533
"34","TB_0446",60215,"wet","dawn ","7/24/2016",1,54,186.755
