genotype,subplot_id,treatment,time,date,subsample,roll,inclination,obtuse
TB_0165,60110,wet,midday,7/22/2016,1,176.363,58,0
TB_0165,60110,wet,midday,7/22/2016,2,177.831,76,360
TB_0165,60110,wet,midday,7/22/2016,3,159.291,48,0
TB_0165,60110,wet,dawn,7/23/2016,1,174.708,34,0
TB_0165,60110,wet,dawn,7/23/2016,2,170.134,35,0
TB_0165,60110,wet,dawn,7/23/2016,3,170.945,34,0
TB_0508,60123,wet,midday,7/22/2016,1,124.356,39,0
TB_0508,60123,wet,midday,7/22/2016,2,110.452,39,0
TB_0508,60123,wet,midday,7/22/2016,3,163.872,34,0
TB_0508,60123,wet,dawn,7/23/2016,1,178.091,29,0
TB_0508,60123,wet,dawn,7/23/2016,2,178.384,29,0
TB_0508,60123,wet,dawn,7/23/2016,3,165.603,24,0
TB_0509,60135,wet,midday,7/22/2016,1,168.639,49,0
TB_0509,60135,wet,midday,7/22/2016,2,142.454,28,0
TB_0509,60135,wet,midday,7/22/2016,3,178.361,54,360
TB_0509,60135,wet,dawn,7/23/2016,1,167.005,24,360
TB_0509,60135,wet,dawn,7/23/2016,2,176.477,43,0
TB_0509,60135,wet,dawn,7/23/2016,3,173.222,39,360
TB_0467,60142,wet,midday,7/22/2016,1,153.848,43,0
TB_0467,60142,wet,midday,7/22/2016,2,175.005,49,360
TB_0467,60142,wet,midday,7/22/2016,3,177.811,44,360
TB_0467,60142,wet,dawn,7/23/2016,1,173.803,31,0
TB_0467,60142,wet,dawn,7/23/2016,2,150.24,29,360
TB_0467,60142,wet,dawn,7/23/2016,3,178.895,30,0
TB_0386,60156,wet,midday,7/22/2016,1,168.406,34,0
TB_0386,60156,wet,midday,7/22/2016,2,166.965,33,0
TB_0386,60156,wet,midday,7/22/2016,3,177.153,45,360
TB_0386,60156,wet,dawn,7/23/2016,1,174.352,29,0
TB_0386,60156,wet,dawn,7/23/2016,2,164.591,24,0
TB_0386,60156,wet,dawn,7/23/2016,3,168.325,21,0
