"","camera","image_id","experiment","subplot_id","type","Label"
"1","LGP_001","GOPR2003","LR",NA,"setup","LR_LGP_001_setup__GOPR2003"
"2","LGP_001","GOPR2004","LR",NA,"setup","LR_LGP_001_setup__GOPR2004"
"3","LGP_001","GOPR2005","LR",NA,"setup","LR_LGP_001_setup__GOPR2005"
"4","LGP_001","GOPR2006","LR",NA,"setup","LR_LGP_001_setup__GOPR2006"
"5","LGP_001","GOPR2007","LR",NA,"setup","LR_LGP_001_setup__GOPR2007"
"6","LGP_001","GOPR2008","LR",NA,"setup","LR_LGP_001_setup__GOPR2008"
"7","LGP_001","GOPR2009","LR",NA,"setup","LR_LGP_001_setup__GOPR2009"
"8","LGP_001","GOPR2010","LR",NA,"setup","LR_LGP_001_setup__GOPR2010"
"9","LGP_001","GOPR2011","LR",60510,"tag","LR_LGP_001_tag_60510_GOPR2011"
"10","LGP_001","GOPR2012","LR",60510,"midday","LR_LGP_001_midday_60510_GOPR2012"
"11","LGP_001","GOPR2013","LR",60523,"tag","LR_LGP_001_tag_60523_GOPR2013"
"12","LGP_001","GOPR2014","LR",60523,"midday","LR_LGP_001_midday_60523_GOPR2014"
"13","LGP_001","GOPR2015","LR",60535,"tag","LR_LGP_001_tag_60535_GOPR2015"
"14","LGP_001","GOPR2016","LR",60535,"midday","LR_LGP_001_midday_60535_GOPR2016"
"15","LGP_001","GOPR2017","LR",60542,"tag","LR_LGP_001_tag_60542_GOPR2017"
"16","LGP_001","GOPR2018","LR",60542,"midday","LR_LGP_001_midday_60542_GOPR2018"
"17","LGP_001","GOPR2019","LR",60556,"tag","LR_LGP_001_tag_60556_GOPR2019"
"18","LGP_001","GOPR2020","LR",60556,"midday","LR_LGP_001_midday_60556_GOPR2020"
"19","LGP_001","GOPR2021","LR",NA,"setup","LR_LGP_001_setup__GOPR2021"
"20","LGP_001","GOPR2022","LR",60110,"tag","LR_LGP_001_tag_60110_GOPR2022"
"21","LGP_001","GOPR2023","LR",60110,"midday","LR_LGP_001_midday_60110_GOPR2023"
"22","LGP_001","GOPR2024","LR",NA,"setup","LR_LGP_001_setup__GOPR2024"
"23","LGP_001","GOPR2025","LR",60123,"tag","LR_LGP_001_tag_60123_GOPR2025"
"24","LGP_001","GOPR2026","LR",60123,"midday","LR_LGP_001_midday_60123_GOPR2026"
"25","LGP_001","GOPR2027","LR",60135,"tag","LR_LGP_001_tag_60135_GOPR2027"
"26","LGP_001","GOPR2028","LR",60135,"midday","LR_LGP_001_midday_60135_GOPR2028"
"27","LGP_001","GOPR2029","LR",60142,"tag","LR_LGP_001_tag_60142_GOPR2029"
"28","LGP_001","GOPR2030","LR",60142,"midday","LR_LGP_001_midday_60142_GOPR2030"
"29","LGP_001","GOPR2031","LR",60156,"tag","LR_LGP_001_tag_60156_GOPR2031"
"30","LGP_001","GOPR2032","LR",60156,"midday","LR_LGP_001_midday_60156_GOPR2032"
"31","LGP_001","GOPR2033","LR",NA,"setup","LR_LGP_001_setup__GOPR2033"
"32","LGP_001","GOPR2034","LR",60615,"tag","LR_LGP_001_tag_60615_GOPR2034"
"33","LGP_001","GOPR2035","LR",60615,"midday","LR_LGP_001_midday_60615_GOPR2035"
"34","LGP_001","GOPR2036","LR",NA,"setup","LR_LGP_001_setup__GOPR2036"
"35","LGP_001","GOPR2037","LR",60641,"tag","LR_LGP_001_tag_60641_GOPR2037"
"36","LGP_001","GOPR2038","LR",60641,"midday","LR_LGP_001_midday_60641_GOPR2038"
"37","LGP_001","GOPR2039","LR",60642,"tag","LR_LGP_001_tag_60642_GOPR2039"
"38","LGP_001","GOPR2040","LR",60642,"midday","LR_LGP_001_midday_60642_GOPR2040"
"39","LGP_001","GOPR2041","LR",60651,"tag","LR_LGP_001_tag_60651_GOPR2041"
"40","LGP_001","GOPR2042","LR",60651,"midday","LR_LGP_001_midday_60651_GOPR2042"
"41","LGP_001","GOPR2043","LR",60654,"tag","LR_LGP_001_tag_60654_GOPR2043"
"42","LGP_001","GOPR2044","LR",60654,"midday","LR_LGP_001_midday_60654_GOPR2044"
"43","LGP_001","GOPR2045","LR",NA,"setup","LR_LGP_001_setup__GOPR2045"
"44","LGP_001","GOPR2046","LR",NA,"setup","LR_LGP_001_setup__GOPR2046"
"45","LGP_001","GOPR2047","LR",NA,"setup","LR_LGP_001_setup__GOPR2047"
"46","LGP_001","GOPR2048","LR",60215,"tag","LR_LGP_001_tag_60215_GOPR2048"
