Subplot_ID,Rep,Awning,Treatment,Genotype,Grid_Location,Jul_21_IR,Jul_11_IR
60101,1,1,wet,TB_0135,A6,35.98625,34.2165625
60102,1,1,wet,B100,A5,35.237125,33.397625
60103,1,1,wet,TB_0254,A4,36.5531875,33.8581875
60104,1,1,wet,TB_0500,A3,36.7085,34.851375
60105,1,1,wet,TB_0353,A2,36.389125,36.2651875
60106,1,1,wet,TB_0319,A1,37.7205,39.270375
60107,1,1,wet,TB_0513,B6,35.4238125,35.1545
60108,1,1,wet,TB_0128,B5,36.2773125,34.6341875
60109,1,1,wet,B100,B4,35.22275,34.283875
60110,1,1,wet,TB_0165,B3,34.94575,33.5429375
60111,1,1,wet,TB_0544,B2,35.3513125,34.093625
60112,1,1,wet,TB_0161,B1,35.23425,33.8150625
60113,1,1,wet,TB_0640,C6,34.145375,33.18225
60114,1,1,wet,TB_0429,C5,35.768875,33.6815
60115,1,1,wet,TB_0487,C4,35.353125,34.012625
60116,1,1,wet,TB_0366,C3,35.30025,34.9796875
60117,1,1,wet,TB_0275,C2,35.095625,34.8221875
60118,1,1,wet,B100,C1,34.7551875,33.5275625
60119,1,1,wet,TB_0336,D6,35.445875,37.37075
60120,1,1,wet,B100,D5,35.7679375,35.3265625
60121,1,1,wet,TB_0095,D4,36.633375,34.9674375
60122,1,1,wet,TB_0436,D3,35.3395,35.155875
60123,1,1,wet,TB_0508,D2,34.6173125,35.6016875
60124,1,1,wet,TB_0104,D1,34.9461875,34.932375
60125,1,1,wet,TB_0582,E6,36.474875,34.2010625
60126,1,1,wet,TB_0154,E5,36.7346875,35.8638125
60127,1,1,wet,TB_0096,E4,36.320875,34.376875
60128,1,1,wet,TB_0211,E3,35.9078125,37.2355
60129,1,1,wet,TB_0039,E2,35.3353125,34.86425
60130,1,1,wet,TB_0029,E1,35.1061875,36.5430625
60131,1,1,wet,TB_0337,F6,49.554125,38.3275
60132,1,1,wet,TB_0023,F5,35.3485,33.9685
60133,1,1,wet,TB_0418,F4,35.247625,33.565375
60134,1,1,wet,B100,F3,35.11025,33.274125
60135,1,1,wet,TB_0509,F2,35.3865,33.4663125
60136,1,1,wet,TB_0594,F1,35.21325,35.15875
60137,1,1,wet,TB_0125,G6,35.8760625,33.443125
60138,1,1,wet,TB_0611,G5,34.8409375,33.261
60139,1,1,wet,TB_0101,G4,35.2151875,34.02075
60140,1,1,wet,TB_0477,G3,35.082875,35.4649375
60141,1,1,wet,TB_0428,G2,35.0285,34.0874375
60142,1,1,wet,TB_0467,G1,35.408,33.4436875
60143,1,1,wet,TB_0549,H6,35.2264375,35.443875
60144,1,1,wet,TB_0590,H5,35.786125,36.0333125
60145,1,1,wet,B100,H4,35.225375,35.5246875
60146,1,1,wet,TB_0407,H3,35.086375,34.3734375
60147,1,1,wet,TB_0109,H2,34.9936875,34.2695
60148,1,1,wet,TB_0605,H1,35.3696875,34.086125
60149,1,1,wet,B100,I6,34.9150625,35.02475
60150,1,1,wet,TB_0068,I5,34.6304375,33.7701875
60151,1,1,wet,TB_0127,I4,34.9663125,34.22925
60152,1,1,wet,TB_0281,I3,35.948875,36.293125
60153,1,1,wet,TB_0497,I2,35.62025,36.023375
60154,1,1,wet,TB_0475,I1,36.0466875,35.44975
60155,1,1,wet,TB_0558,J6,35.6619375,33.937125
60156,1,1,wet,TB_0386,J5,35.2014375,33.1444375
60157,1,1,wet,TB_0126,J4,35.2465625,33.2328125
60158,1,1,wet,TB_0347,J3,35.582,34.2744375
60159,1,1,wet,B100,J2,35.9426875,35.3591875
60160,1,1,wet,TB_0269,J1,39.0231875,36.0111875
60201,1,2,wet,TB_0411,A7,35.28375,34.8299375
60202,1,2,wet,B100,A8,35.2659375,33.780625
60203,1,2,wet,TB_0530,A9,35.1998125,34.959125
60204,1,2,wet,TB_0559,A10,35.2946875,33.8855625
60205,1,2,wet,TB_0297,A11,36.49475,35.9736875
60206,1,2,wet,TB_0343,A12,40.2528125,40.9603125
60207,1,2,wet,TB_0339,B7,35.183,33.7703125
60208,1,2,wet,TB_0597,B8,35.034625,33.9065625
60209,1,2,wet,B100,B9,34.939625,34.6696875
60210,1,2,wet,TB_0122,B10,35.144625,34.4378125
60211,1,2,wet,TB_0381,B11,35.7181875,34.334
60212,1,2,wet,TB_0124,B12,36.4459375,35.582125
60213,1,2,wet,TB_0205,C7,48.4919375,38.9345
60214,1,2,wet,TB_0447,C8,35.8098125,36.954875
60215,1,2,wet,TB_0446,C9,35.1946875,34.279
60216,1,2,wet,TB_0529,C10,36.17875,36.5958125
60217,1,2,wet,TB_0492,C11,35.56,34.1790625
60218,1,2,wet,B100,C12,36.159125,35.6910625
60219,1,2,wet,TB_0156,D7,35.9870625,33.4436875
60220,1,2,wet,B100,D8,35.112375,34.4694375
60221,1,2,wet,TB_0382,D9,35.169875,35.4203125
60222,1,2,wet,TB_0551,D10,35.388875,33.939125
60223,1,2,wet,TB_0501,D11,36.173375,36.215375
60224,1,2,wet,TB_0274,D12,37.13375,36.52975
60225,1,2,wet,TB_0486,E7,35.9519375,33.545875
60226,1,2,wet,TB_0550,E8,35.376625,35.193375
60227,1,2,wet,TB_0341,E9,36.071875,36.5426875
60228,1,2,wet,TB_0260,E10,37.4295,35.4701875
60229,1,2,wet,TB_0344,E11,38.382125,37.90525
60230,1,2,wet,TB_0167,E12,38.0664375,36.239375
60231,1,2,wet,TB_0169,F7,35.12775,33.8175625
60232,1,2,wet,TB_0208,F8,36.7665625,36.7208125
60233,1,2,wet,TB_0560,F9,36.5389375,36.5031875
60234,1,2,wet,B100,F10,36.5919375,37.25425
60235,1,2,wet,TB_0434,F11,37.3578125,36.714625
60236,1,2,wet,TB_0037,F12,37.532375,34.571125
60237,1,2,wet,TB_0402,G7,35.3963125,35.459625
60238,1,2,wet,TB_0412,G8,36.0185,36.5380625
60239,1,2,wet,TB_0346,G9,37.8820625,36.598875
60240,1,2,wet,TB_0420,G10,36.209375,35.413625
60241,1,2,wet,TB_0612,G11,36.600375,35.868
60242,1,2,wet,TB_0476,G12,36.42875,35.0941875
60243,1,2,wet,TB_0368,H7,35.2055625,33.65
60244,1,2,wet,TB_0424,H8,35.51,35.30325
60245,1,2,wet,B100,H9,35.4513125,36.14175
60246,1,2,wet,TB_0641,H10,35.5400625,34.5428125
60247,1,2,wet,TB_0056,H11,35.9573125,37.7835
60248,1,2,wet,TB_0340,H12,36.5935625,37.75325
60249,1,2,wet,B100,I7,34.7871875,33.790875
60250,1,2,wet,TB_0046,I8,36.3878125,34.41975
60251,1,2,wet,TB_0348,I9,35.645,37.161
60252,1,2,wet,TB_0148,I10,36.3475625,35.8908125
60253,1,2,wet,TB_0103,I11,35.448375,34.2795625
60254,1,2,wet,TB_0212,I12,36.4564375,34.628875
60255,1,2,wet,TB_0554,J7,35.23275,33.864125
60256,1,2,wet,TB_0527,J8,35.1719375,33.6786875
60257,1,2,wet,TB_0278,J9,35.319125,34.9436875
60258,1,2,wet,TB_0439,J10,35.1006875,33.867
60259,1,2,wet,B100,J11,34.982375,33.921125
60260,1,2,wet,TB_0401,J12,35.471375,34.4176875
60301,1,3,wet,TB_0204,A18,42.623125,34.4305625
60302,1,3,wet,B100,A17,36.6984375,33.959125
60303,1,3,wet,TB_0258,A16,36.5085,34.08025
