Subplot_ID,Rep,Awning,Treatment,Genotype
60101,1,1,wet,TB_0135
60102,1,1,wet,B100
60103,1,1,wet,TB_0254
60104,1,1,wet,TB_0500
60105,1,1,wet,TB_0353
60106,1,1,wet,TB_0319
60107,1,1,wet,TB_0513
60108,1,1,wet,TB_0128
60109,1,1,wet,B100
60110,1,1,wet,TB_0165
60111,1,1,wet,TB_0544
60112,1,1,wet,TB_0161
60113,1,1,wet,TB_0640
60114,1,1,wet,TB_0429
60115,1,1,wet,TB_0487
60116,1,1,wet,TB_0366
60117,1,1,wet,TB_0275
60118,1,1,wet,B100
60119,1,1,wet,TB_0336
60120,1,1,wet,B100
60121,1,1,wet,TB_0095
60122,1,1,wet,TB_0436
60123,1,1,wet,TB_0508
60124,1,1,wet,TB_0104
60125,1,1,wet,TB_0582
60126,1,1,wet,TB_0154
60127,1,1,wet,TB_0096
60128,1,1,wet,TB_0211
60129,1,1,wet,TB_0039
60130,1,1,wet,TB_0029
60131,1,1,wet,TB_0337
60132,1,1,wet,TB_0023
60133,1,1,wet,TB_0418
60134,1,1,wet,B100
60135,1,1,wet,TB_0509
60136,1,1,wet,TB_0594
60137,1,1,wet,TB_0125
60138,1,1,wet,TB_0611
60139,1,1,wet,TB_0101
60140,1,1,wet,TB_0477
60141,1,1,wet,TB_0428
60142,1,1,wet,TB_0467
60143,1,1,wet,TB_0549
60144,1,1,wet,TB_0590
60145,1,1,wet,B100
60146,1,1,wet,TB_0407
60147,1,1,wet,TB_0109
60148,1,1,wet,TB_0605
60149,1,1,wet,B100
60150,1,1,wet,TB_0068
60151,1,1,wet,TB_0127
60152,1,1,wet,TB_0281
60153,1,1,wet,TB_0497
60154,1,1,wet,TB_0475
60155,1,1,wet,TB_0558
60156,1,1,wet,TB_0386
60157,1,1,wet,TB_0126
60158,1,1,wet,TB_0347
60159,1,1,wet,B100
60160,1,1,wet,TB_0269
60201,1,2,wet,TB_0411
60202,1,2,wet,B100
60203,1,2,wet,TB_0530
60204,1,2,wet,TB_0559
60205,1,2,wet,TB_0297
