Subplot_ID,Rep,Awning,Treatment,Genotype,Grid_Location,Jul_16_notes,Jul_11_notes,Jul_12_notes,Jul_11_weather,Jul_21_notes,Jul_21_weather,Jul_21_IR,Jul_21_IR_std,Jul_21_IR_obs,Jul_21_IR_se,,Jul_11_IR,Jul_11_IR_std,Jul_11_IR_obs,Jul_11_IR_se,Jul_16_IR,Jul_16_IR_std,Jul_16_IR_obs,Jul_16_IR_se
60101,1,1,wet,TB_0135,A6,,,,,,,35.98625,0.283254773,16,0.070813693,,34.2165625,0.317537393,16,0.079384348,,,,
60102,1,1,wet,B100,A5,,,,,,,35.237125,0.228593343,16,0.057148336,,33.397625,0.389821476,16,0.097455369,,,,
60103,1,1,wet,TB_0254,A4,,,,,,,36.5531875,0.279160938,16,0.069790234,,33.8581875,0.234136774,16,0.058534194,,,,
60104,1,1,wet,TB_0500,A3,,,,,,,36.7085,0.471080036,16,0.117770009,,34.851375,0.424888044,16,0.106222011,,,,
60105,1,1,wet,TB_0353,A2,,,,,,,36.389125,0.207891919,16,0.05197298,,36.2651875,0.678170403,16,0.169542601,,,,
60106,1,1,wet,TB_0319,A1,,,,,,,37.7205,0.505309014,16,0.126327254,,39.270375,1.047711784,16,0.261927946,,,,
60107,1,1,wet,TB_0513,B6,,,,,,,35.4238125,0.324517327,16,0.081129332,,35.1545,0.622304748,16,0.155576187,,,,
60108,1,1,wet,TB_0128,B5,,,,,,,36.2773125,0.31076802,16,0.077692005,,34.6341875,0.346834489,16,0.086708622,,,,
60109,1,1,wet,B100,B4,,,,,,,35.22275,0.332113133,16,0.083028283,,34.283875,0.333862422,16,0.083465605,,,,
60110,1,1,wet,TB_0165,B3,,,,,,,34.94575,0.184037134,16,0.046009283,,33.5429375,0.192885966,16,0.048221491,,,,
60111,1,1,wet,TB_0544,B2,,,,,,,35.3513125,0.190876825,16,0.047719206,,34.093625,0.286526526,16,0.071631631,,,,
60112,1,1,wet,TB_0161,B1,,,,,,,35.23425,0.203748701,16,0.050937175,,33.8150625,0.632369245,16,0.158092311,,,,
60113,1,1,wet,TB_0640,C6,,beam,,,beam,,34.145375,0.215950573,16,0.053987643,,33.18225,0.163443976,16,0.040860994,,,,
60114,1,1,wet,TB_0429,C5,,beam,,,beam,,35.768875,0.234664832,16,0.058666208,,33.6815,0.337053705,16,0.084263426,,,,
