"","genotype","hi_or_lo","sib_type","subplot_id","rep","awning","treatment"
"1","TB_0003","hi","hi_roller",60451,1,4,"wet"
"2","TB_0003","hi","hi_roller",60851,1,8,"dry"
"3","TB_0003","hi","hi_roller",61247,2,12,"dry"
"4","TB_0003","hi","hi_roller",61647,2,16,"wet"
"5","TB_0015","lo","closest_zero",61048,2,10,"dry"
"6","TB_0015","lo","closest_zero",61448,2,14,"wet"
"7","TB_0015","lo","closest_zero",60424,1,4,"wet"
"8","TB_0015","lo","closest_zero",60824,1,8,"dry"
"9","TB_0037","hi","hi_roller",60236,1,2,"wet"
"10","TB_0037","hi","hi_roller",60903,2,9,"dry"
"11","TB_0037","hi","hi_roller",61303,2,13,"wet"
"12","TB_0037","hi","hi_roller",60635,1,6,"dry"
"13","TB_0050","lo","closest_lo_full",61032,2,10,"dry"
"14","TB_0050","lo","closest_lo_full",60729,1,7,"dry"
"15","TB_0050","lo","closest_lo_full",61432,2,14,"wet"
"16","TB_0050","lo","closest_lo_full",60329,1,3,"wet"
"17","TB_0050","lo","closest_zero",61032,2,10,"dry"
"18","TB_0050","lo","closest_zero",60729,1,7,"dry"
"19","TB_0050","lo","closest_zero",61432,2,14,"wet"
"20","TB_0050","lo","closest_zero",60329,1,3,"wet"
"21","TB_0064","lo","closest_lo_full",60712,1,7,"dry"
"22","TB_0064","lo","closest_lo_full",60312,1,3,"wet"
"23","TB_0064","lo","closest_lo_full",60935,2,9,"dry"
"24","TB_0064","lo","closest_lo_full",61335,2,13,"wet"
"25","TB_0095","hi","hi_roller",60121,1,1,"wet"
"26","TB_0095","hi","hi_roller",60521,1,5,"dry"
"27","TB_0095","hi","hi_roller",61560,2,15,"wet"
"28","TB_0095","hi","hi_roller",61160,2,11,"dry"
"29","TB_0125","lo","closest_zero",60537,1,5,"dry"
"30","TB_0125","lo","closest_zero",61046,2,10,"dry"
"31","TB_0125","lo","closest_zero",61446,2,14,"wet"
"32","TB_0125","lo","closest_zero",60137,1,1,"wet"
"33","TB_0125","lo","closest_lo_full",60537,1,5,"dry"
"34","TB_0125","lo","closest_lo_full",61046,2,10,"dry"
