,genotype,score,VM_dry,VM_wet,VM_dw_percent,CH_dry,CH_wet,CH_dw_percent,TB_0003,TB_0037,TB_0095,TB_0239,TB_0335,TB_0368,TB_0382,TB_0386,TB_0433,TB_0436,TB_0446,TB_0462,TB_0476,TB_0508,TB_0509,TB_0581,TB_0612
113,TB_0551,0.5,1.6292333333,2.56315,0.6356371392,432.3333333333,500.1666666667,0.8643785405,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,45.0777106783
15,TB_0122,0,1.6923333333,1.94555,0.8698482863,395.5,406.6666666667,0.9725409836,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,48.9080770425
44,TB_0274,0.5,0.9814166667,1.3682833333,0.7172612885,168.8333333333,339.8333333333,0.4968121628,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,48.9080770425
55,TB_0311,0.5,2.3358166667,1.99415,1.1713344867,361.8333333333,369.5,0.9792512404,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,48.9080770425
97,TB_0492,0.5,1.0640166667,1.8346833333,0.5799456764,459.6666666667,573.8333333333,0.8010455998,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,48.9080770425
4,TB_0017,0,1.3812666667,1.27015,1.0874831057,409.3333333333,305.5,1.3398799782,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,53.553711356
49,TB_0285,0.5,1.6812833333,2.2375666667,0.7513891579,426,465.3333333333,0.9154727794,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,53.553711356
51,TB_0296,0,2.4741333333,2.3186,1.0670807096,245.1666666667,369.1666666667,0.6641083521,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,53.553711356
54,TB_0310,0,1.3882166667,1.3242166667,1.0483304595,297.3333333333,317.8333333333,0.9355007866,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,53.553711356
60,TB_0336,0,3.9935833333,3.12865,1.2764557663,585.3333333333,703.3333333333,0.8322274882,67.1118469423,59.1945943478,59.1945943478,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,59.1945943478,59.1945943478,59.1945943478,67.1118469423,53.553711356
